block,bin,mining_area,pit_name,bench_rl,tonnes_wt,pot_ore_wt,pot_ore_dt,hg_l_wt,hg_l_dt,hg_l_fe,hg_f_wt,hg_f_dt,hg_f_fe,lg_l_wt,lg_l_dt,lg_l_fe,lg_f_wt,lg_f_dt,lg_f_fe
32,63,Tata,msst2,1130,0.149223755,0.149223755,0.14436375,0.049337772,0.048165522,63.43831927,0.100475428,0.09619823,58.12575367,0.045463792,0.04364524,64.73502494,0.069095091,0.062185581,89.91786344
33,10,Tata,msst3,1120,0.412895627,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,30,Tata,msst3,1120,0.04768078,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,51,Tata,msst3,1120,0.006351479,0.006351479,0.005906875,0.002690659,0.002542673,60.03938883,0.00371735,0.003364202,58.33689767,0.002463777,0.00231595,61.07679013,0.002546658,0.002241059,87.57339024
36,59,Tata,msst3,1120,0.630416506,0.630416506,0.586626264,0.261176035,0.246901808,58.41130716,0.375085487,0.339724456,55.86971294,0.236713693,0.222546062,59.71765265,0.245951071,0.216485581,87.67469768
37,60,Tata,msst3,1120,0.963903249,0.963903249,0.896430021,0.40650371,0.384146007,59.68475611,0.566059685,0.512284015,57.78993048,0.371406691,0.34912229,60.7786462,0.384111638,0.338018242,87.5836093
38,63,Tata,msst3,1120,0.037275111,0.037275111,0.0360925,0.012329676,0.012041902,63.44565538,0.025097871,0.024050599,58.14049049,0.011367409,0.010912713,64.73870302,0.017279368,0.015551431,89.91543023
39,10,Tata,msst3,1110,0.271822583,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,30,Tata,msst3,1110,0.070094758,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,51,Tata,msst3,1110,0.025372984,0.025372984,0.023596875,0.010698489,0.010110072,59.6558969,0.014902545,0.013486803,57.77829719,0.00977315,0.009186761,60.75241296,0.010110458,0.008897203,87.58309088
42,59,Tata,msst3,1110,0.395718884,0.395718884,0.368640009,0.164867922,0.155935648,58.66034358,0.234636273,0.212704362,56.23894764,0.14981064,0.140822002,59.92071637,0.155127401,0.136512113,87.62789785
43,60,Tata,msst3,1110,0.457643389,0.457643389,0.42585751,0.193274832,0.182698695,59.79173793,0.26852418,0.243158815,57.91368829,0.176753072,0.166147888,60.86918724,0.182720193,0.16079377,87.5794116
44,63,Tata,msst3,1110,0.034259212,0.034259212,0.032546252,0.014892781,0.014222606,61.45859088,0.019809346,0.018323645,60.02820957,0.013898244,0.013064349,62.26771473,0.014281261,0.012567509,87.52216533
45,10,Tata,msst3,1100,0.049737903,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,30,Tata,msst3,1100,0.024266129,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,59,Tata,msst3,1100,0.224856395,0.224856395,0.209738763,0.094848886,0.089767739,59.62349393,0.132167696,0.119971025,57.61270125,0.08675474,0.081549456,60.73130752,0.089674549,0.078913604,87.58762097
48,60,Tata,msst3,1100,0.178091407,0.178091407,0.165625009,0.075212743,0.071076043,59.79290609,0.104473995,0.094548966,57.96530607,0.068765227,0.064639314,60.8686093,0.07111164,0.062578243,87.57931645
49,68,Tata,msst3,1100,0.230456588,0.230456588,0.218933759,0.101002589,0.096457472,62.2551296,0.132406797,0.122476287,60.94267481,0.094702077,0.089019953,62.93653337,0.096934588,0.085302438,87.50081172
50,59,Tata,msst3,1090,0.006302419,0.006302419,0.00586125,0.002642652,0.002497306,59.20254885,0.003717065,0.003363944,57.11845728,0.002407309,0.002262871,60.36880651,0.002492611,0.002193498,87.59676322
51,60,Tata,msst3,1090,0.06627466,0.06627466,0.06213375,0.028295366,0.026847025,60.39799096,0.038671544,0.035286725,58.75212376,0.026069627,0.024505449,61.37895415,0.026905994,0.023677275,87.55948747
52,68,Tata,msst3,1090,0.183753954,0.183753954,0.174566256,0.081385969,0.077723601,63.28845927,0.104694763,0.096842656,62.13723879,0.076774877,0.072168384,63.80296535,0.078166701,0.068786697,87.48109004
53,59,Tata,msst3,1080,0.006293011,0.006293011,0.0058525,0.002638805,0.00249367,59.20555789,0.003711414,0.00335883,57.12283072,0.00240385,0.002259619,60.37135261,0.002489015,0.002190333,87.59665901
54,60,Tata,msst3,1080,0.028459212,0.028459212,0.026591251,0.012167061,0.011524798,60.66333298,0.016568519,0.015066453,59.11020497,0.011209106,0.01053656,61.6015876,0.01155922,0.010172114,87.55123407
55,68,Tata,msst3,1080,0.046717108,0.046717108,0.044381253,0.020419697,0.019500811,61.98934324,0.026897775,0.024880442,60.64155441,0.019115877,0.017968924,62.71226243,0.019593276,0.017242083,87.50616991
56,10,Tata,msp1s1,1260,0.000323925,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,10,Tata,msp1s1,1250,0.008260081,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,10,Tata,msp1s1,1240,0.040652554,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,10,Tata,msp1s1,1230,0.137020163,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,10,Tata,msp1s1,1220,0.568220435,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,30,Tata,msp1s1,1220,0.033941533,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,52,Tata,msp1s1,1220,0.016437501,0.016437501,0.015615626,0.006072987,0.005799702,62.3168183,0.010611809,0.009815923,59.32118792,0.005624657,0.005287178,63.25954609,0.007391237,0.006504289,89.52435428
63,58,Tata,msp1s1,1220,0.00190329,0.00190329,0.001808125,0.000681514,0.000650846,61.25789663,0.001251113,0.001157279,59.85467225,0.000613359,0.000576557,62.4075595,0.000763404,0.000671795,103.1096369
